city|location|price|bedrooms|bathrooms|size
Gujranwala|DHA Phase 6, DHA Defence|0|5|None|4500
Gujranwala|DHA Phase 7, DHA Defence|0|5|None|4500
Gujranwala|Bankers Avenue Cooperative Housing Society, Lahore|0|5|None|2250
Gujranwala|Formanites Housing Scheme, Lahore|0|5|None|2250
Gujranwala|Park View City, Lahore|0|5|None|2250
Gujranwala|DHA Phase 7 - Block W, DHA Phase 7|0|5|None|4500
Gujranwala|Bahria Town - Sector C, Bahria Town|0|5|None|2250
Gujranwala|Bahria Town - Sector E, Bahria Town|0|3|None|2250
Gujranwala|DHA 9 Town, DHA Defence|0|3|None|1125
Gujranwala|Park View City, Lahore|0|4|None|1125
Gujranwala|Bedian Road, Lahore|0|2|None|18000
Gujranwala|Bedian Road, Lahore|0|1|None|18000
Gujranwala|Valencia Housing Society, Lahore|0|4|None|2250
Gujranwala|Valencia Housing Society, Lahore|0|6|None|4500
Gujranwala|Paragon City, Lahore|0|3|None|1125
Gujranwala|Lake City - Sector M7 - Block A, Lake City - Sector M-7|0|6|None|1575
Gujranwala|DHA 9 Town - Block D, DHA 9 Town|0|3|None|1125
Gujranwala|Bahria Town - Sector C, Bahria Town|0|5|None|9000
Gujranwala|Bahria Town - Nargis Block, Bahria Town - Sector C|0|5|None|4500
Gujranwala|Bahria Town - Tulip Block, Bahria Town - Sector C|0|6|None|2700
Gujranwala|DHA Phase 4, DHA Defence|0|4|None|2250
Gujranwala|DHA Phase 7 - Block R, DHA Phase 7|0|5|None|4500
Gujranwala|Paragon City, Lahore|0|5|None|2250
Gujranwala|DHA Phase 6 - Block J, DHA Phase 6|0|5|None|4500
Gujranwala|Paragon City, Lahore|0|3|None|900
Gujranwala|DHA Phase 6, DHA Defence|0|5|None|4500
Gujranwala|DHA Phase 7, DHA Defence|0|5|None|4500
Gujranwala|Bankers Avenue Cooperative Housing Society, Lahore|0|5|None|2250
Gujranwala|Formanites Housing Scheme, Lahore|0|5|None|2250
Gujranwala|Park View City, Lahore|0|5|None|2250
Gujranwala|DHA Phase 7 - Block W, DHA Phase 7|0|5|None|4500
Gujranwala|Bahria Town - Sector C, Bahria Town|0|5|None|2250
Gujranwala|Bahria Town - Sector E, Bahria Town|0|3|None|2250
Gujranwala|DHA 9 Town, DHA Defence|0|3|None|1125
Gujranwala|Park View City, Lahore|0|4|None|1125
Gujranwala|Bedian Road, Lahore|0|2|None|18000
Gujranwala|Bedian Road, Lahore|0|1|None|18000
